text,category_name
"모모래빗 2022 뉴 에코씽씽 팬티 4단계 대형 여아 (104매) 모모래빗 {""단계"": {""4단계"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""사이즈"": {""대형"": true}, ""manufacturer"": ""모모래빗"", ""등록년월"": ""2022년 05월"", ""제조회사"": ""모모래빗""}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 기저귀
"하기스 네이처메이드 밤부팬티 6단계 점보-남아 (38매) 유한킴벌리 {""품목"": {""기저귀"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""유한킴벌리"", ""등록년월"": ""2023년 01월"", ""제조회사"": ""유한킴벌리""}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 기저귀
"하기스 2022 네이처메이드 썸머 밴드형 2단계-공용 (304매) 유한킴벌리 {""단계"": {""2단계"": true}, ""밴드"": {""매직벨트"": true, ""와이드허리밴드"": true, ""유연한다리밴드"": true, ""부드러운허리밴드"": true}, ""성별"": {""공용"": true}, ""커버"": {""교체시기알림"": true, ""소프트안커버"": true}, ""품목"": {""여름기저귀"": true}, ""형태"": {""밴드형"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""사이즈"": {""소형"": true}, ""샘방지"": {""샘방지안심포켓"": true}, ""테이프"": {""원터치매직테이프"": true}, ""흡수성"": {""강력흡수"": true, ""에어터널"": true, ""스피드흡수"": true, ""와이드흡수"": true, ""울트라씬코어흡수층"": true}, ""manufacturer"": ""유한킴벌리"", ""권장무게"": {""4~5kg"": ""4~8kg""}, ""등록년월"": ""2022년 04월"", ""제조회사"": ""유한킴벌리"", ""피부보호"": {""판테놀"": true}}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 기저귀
"산도깨비 ㅤ프리미엄 참조은 물티슈 캡형 100매 (1팩) 산도깨비 {""원단"": ""플레인"", ""종류"": ""손소독티슈"", ""특징"": {""피부 저자극"": true}, ""형태"": ""캡형"", ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""한팩당"": ""100매"", ""manufacturer"": ""산도깨비"", ""등록년월"": ""2021년 06월"", ""제조회사"": ""산도깨비""}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 물티슈
"닥터큐 ㅤ살균 소독티슈 하늘색 캡형 80매 (1팩) 닥터큐 {""원단"": ""엠보싱"", ""종류"": ""손소독티슈"", ""특징"": {""살균·소독"": true}, ""형태"": ""캡형"", ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""한팩당"": ""80매"", ""manufacturer"": ""닥터큐"", ""등록년월"": ""2019년 01월"", ""제조회사"": ""닥터큐""}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 물티슈
"아이러브베베 블루 물티슈 캡형 80매 (20팩) 지앤티클린 아이러브베베 {""분류"": {""물티슈"": true}, ""용도"": {""유아용"": true}, ""원단"": {""엠보싱"": true}, ""인증"": {""더마테스트"": true}, ""종류"": {""물티슈"": true}, ""평량"": {""~55gsm"": ""52gsm""}, ""형태"": {""캡형"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""지앤티클린 아이러브베베"", ""등록년월"": ""2020년 08월"", ""정수단계"": {""n단계정수"": ""6단계정수""}, ""제조회사"": ""지앤티클린 아이러브베베"", ""한팩당 매수"": {""61~90"": true}}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 물티슈
"압타밀 프로푸투라 신바이오틱+ 2단계 900g (1개) 뉴트리시아 압타밀 {""단계"": {""2단계"": true}, ""종류"": {""일반분유"": true}, ""품목"": {""분유"": true}, ""형태"": {""분말"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""뉴트리시아 압타밀"", ""등록년월"": ""2019년 07월"", ""제조회사"": ""뉴트리시아 압타밀"", ""최소연령"": {""6개월~"": true}}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 분유
"매일유업 앱솔루트 플래티넘 산양 1단계 750g (1개) 매일유업 {""단계"": {""1단계"": true}, ""종류"": {""산양분유"": true}, ""품목"": {""분유"": true}, ""함량"": {""함량"": ""산양고형분38%""}, ""형태"": {""분말"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""매일유업"", ""등록년월"": ""2018년 11월"", ""제조회사"": ""매일유업"", ""최소연령"": {""0개월~"": true}}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 분유
"남양유업 2023 아이엠마더 2단계 800g (3개) 남양유업 {""단계"": {""2단계"": true}, ""품목"": {""분유"": true}, ""형태"": {""분말"": true}, ""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""남양유업"", ""등록년월"": ""2023년 02월"", ""제조회사"": ""남양유업"", ""초유성분"": {""초유성분"": true}, ""최소연령"": {""6개월~"": true}}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 분유
"또또맘 푸룬사과양배추 젤리 15g (2개) 농업회사법인그로위드 {""KC인증"": {""안전확인인증"": ""상세설명 / 판매 사이트 문의인증번호 확인"", ""적합성평가인증"": ""상세설명 / 판매 사이트 문의인증번호 확인""}, ""manufacturer"": ""농업회사법인그로위드"", ""등록년월"": ""2023년 06월"", ""제조회사"": ""농업회사법인그로위드""}",홈 > 식품/유아/완구 > 분유/기저귀/물티슈 > 유아간식/영양제
